freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.028e+03,3.874e+01,2.018e+01,1.087e+03
1.7,1.108e+03,1.810e+02,6.077e+01,1.350e+03
3.4,7.822e+02,1.901e+02,6.013e+01,1.032e+03
5.1,1.599e+03,1.519e+02,6.068e+01,1.812e+03
6.7,3.025e+03,1.446e+02,6.529e+01,3.235e+03
8.4,4.346e+03,1.450e+02,6.456e+01,4.555e+03
10.1,6.051e+03,1.378e+02,6.246e+01,6.251e+03
11.8,8.043e+03,1.439e+02,6.133e+01,8.249e+03
13.5,1.020e+04,1.324e+02,6.032e+01,1.039e+04
15.2,1.244e+04,1.326e+02,5.718e+01,1.263e+04
16.9,1.562e+04,1.389e+02,6.496e+01,1.583e+04
18.6,1.963e+04,1.419e+02,7.067e+01,1.984e+04
20.2,2.451e+04,1.550e+02,6.726e+01,2.473e+04
21.9,3.009e+04,1.693e+02,6.101e+01,3.032e+04
23.6,3.722e+04,1.636e+02,6.579e+01,3.745e+04
25.3,4.721e+04,1.445e+02,6.647e+01,4.742e+04
27.0,5.961e+04,1.374e+02,6.021e+01,5.981e+04
28.7,7.228e+04,1.461e+02,6.529e+01,7.249e+04
30.4,8.629e+04,1.903e+02,7.357e+01,8.655e+04
32.1,1.059e+05,2.057e+02,8.090e+01,1.062e+05
33.7,1.323e+05,2.126e+02,1.161e+02,1.326e+05
35.4,1.473e+05,2.678e+02,2.044e+02,1.478e+05
37.1,1.586e+05,4.033e+02,2.461e+02,1.593e+05
38.8,1.800e+05,6.785e+02,3.484e+02,1.810e+05
40.5,2.164e+05,7.070e+02,7.686e+02,2.179e+05
42.2,2.921e+05,5.331e+02,7.572e+02,2.934e+05
43.9,3.610e+05,6.150e+02,1.224e+03,3.629e+05
45.6,3.772e+05,1.633e+03,7.897e+03,3.867e+05
47.2,3.899e+05,4.606e+03,2.812e+04,4.226e+05
48.9,3.887e+05,6.762e+03,4.302e+04,4.384e+05
50.6,3.986e+05,5.514e+03,3.290e+04,4.370e+05
52.3,4.453e+05,6.223e+03,2.873e+04,4.802e+05
54.0,5.078e+05,5.011e+03,2.582e+04,5.386e+05
55.7,5.461e+05,3.094e+03,2.021e+04,5.694e+05
57.4,5.737e+05,3.248e+03,2.565e+04,6.026e+05
59.1,5.759e+05,2.426e+03,2.859e+04,6.069e+05
60.7,6.437e+05,9.247e+02,1.744e+04,6.621e+05
62.4,8.706e+05,6.260e+02,1.029e+04,8.815e+05
64.1,1.358e+06,1.002e+03,7.857e+03,1.367e+06
65.8,2.141e+06,1.396e+03,5.821e+03,2.149e+06
67.5,2.893e+06,1.712e+03,5.550e+03,2.900e+06
69.2,3.597e+06,2.581e+03,4.243e+03,3.604e+06
70.9,3.692e+06,3.557e+03,2.374e+03,3.698e+06
72.6,3.202e+06,6.301e+03,1.450e+03,3.210e+06
74.2,2.644e+06,1.197e+04,2.137e+03,2.658e+06
75.9,2.098e+06,1.783e+04,3.953e+03,2.119e+06
77.6,1.624e+06,2.640e+04,7.148e+03,1.657e+06
79.3,1.231e+06,3.647e+04,1.142e+04,1.279e+06
81.0,9.031e+05,3.662e+04,1.122e+04,9.510e+05
82.7,6.914e+05,3.051e+04,8.930e+03,7.309e+05
84.4,6.178e+05,2.498e+04,8.367e+03,6.512e+05
86.1,5.415e+05,2.224e+04,7.999e+03,5.717e+05
