freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.080e+03,3.329e+01,2.264e+01,1.136e+03
1.7,7.789e+02,7.158e+01,5.143e+01,9.019e+02
3.4,3.190e+02,8.620e+01,5.043e+01,4.556e+02
5.1,1.209e+03,1.004e+02,5.157e+01,1.361e+03
6.8,2.791e+03,8.349e+01,5.415e+01,2.928e+03
8.5,3.960e+03,1.136e+02,5.234e+01,4.126e+03
10.2,4.984e+03,1.002e+02,5.827e+01,5.143e+03
11.9,7.054e+03,1.001e+02,5.606e+01,7.210e+03
13.6,9.501e+03,1.068e+02,5.184e+01,9.660e+03
15.3,1.239e+04,1.161e+02,5.346e+01,1.256e+04
17.0,1.579e+04,1.214e+02,5.672e+01,1.597e+04
18.7,1.995e+04,1.216e+02,5.550e+01,2.013e+04
20.4,2.463e+04,1.142e+02,5.472e+01,2.480e+04
22.1,3.066e+04,1.004e+02,5.580e+01,3.082e+04
23.8,3.720e+04,1.016e+02,6.118e+01,3.737e+04
25.5,4.316e+04,7.729e+01,6.509e+01,4.330e+04
27.2,5.132e+04,8.826e+01,6.486e+01,5.148e+04
28.9,6.041e+04,1.012e+02,7.070e+01,6.058e+04
30.6,7.448e+04,1.068e+02,9.049e+01,7.468e+04
32.3,9.270e+04,1.230e+02,1.246e+02,9.295e+04
34.0,1.144e+05,1.277e+02,1.597e+02,1.147e+05
35.7,1.511e+05,1.238e+02,2.258e+02,1.514e+05
37.4,1.805e+05,1.316e+02,2.736e+02,1.809e+05
39.1,1.731e+05,1.676e+02,3.143e+02,1.736e+05
40.8,1.499e+05,1.500e+02,3.898e+02,1.504e+05
42.5,1.420e+05,1.434e+02,5.386e+02,1.427e+05
44.2,1.520e+05,1.426e+02,8.117e+02,1.529e+05
45.9,1.713e+05,1.302e+02,1.220e+03,1.726e+05
47.6,2.032e+05,1.290e+02,1.813e+03,2.051e+05
49.3,2.462e+05,2.446e+02,2.111e+03,2.485e+05
51.0,2.857e+05,3.617e+02,1.749e+03,2.878e+05
52.7,3.184e+05,3.102e+02,1.571e+03,3.203e+05
54.4,3.917e+05,2.083e+02,1.094e+03,3.930e+05
56.1,5.519e+05,2.427e+02,8.916e+02,5.530e+05
57.8,8.175e+05,3.606e+02,1.359e+03,8.192e+05
59.5,1.317e+06,1.470e+03,1.796e+03,1.320e+06
61.2,2.236e+06,9.341e+03,8.010e+03,2.253e+06
62.9,3.507e+06,2.523e+04,2.634e+04,3.558e+06
64.6,4.070e+06,3.816e+04,4.818e+04,4.157e+06
66.3,3.444e+06,3.416e+04,5.734e+04,3.536e+06
68.0,2.557e+06,2.164e+04,4.834e+04,2.627e+06
69.7,2.127e+06,1.514e+04,3.334e+04,2.175e+06
71.4,1.848e+06,1.751e+04,2.338e+04,1.888e+06
73.1,1.241e+06,2.348e+04,2.231e+04,1.287e+06
74.8,8.639e+05,2.536e+04,2.032e+04,9.096e+05
76.5,6.533e+05,2.635e+04,2.004e+04,6.997e+05
78.2,4.952e+05,2.565e+04,1.945e+04,5.402e+05
79.9,3.776e+05,2.470e+04,1.868e+04,4.209e+05
81.6,3.148e+05,2.568e+04,2.066e+04,3.611e+05
83.3,2.871e+05,2.656e+04,2.367e+04,3.373e+05
85.0,2.790e+05,2.739e+04,2.502e+04,3.314e+05
86.7,2.742e+05,3.065e+04,2.696e+04,3.318e+05
88.4,2.814e+05,3.943e+04,3.279e+04,3.536e+05
90.1,3.161e+05,5.418e+04,4.251e+04,4.128e+05
91.8,3.630e+05,7.032e+04,5.341e+04,4.867e+05
93.5,4.138e+05,8.219e+04,6.156e+04,5.575e+05
95.2,4.763e+05,8.874e+04,6.541e+04,6.304e+05
96.9,5.134e+05,8.132e+04,5.865e+04,6.533e+05
