freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.513e+02,9.488e+02,3.559e+02,1.656e+03
1.7,2.147e+02,5.502e+02,2.328e+02,9.977e+02
3.4,2.979e+01,9.822e+01,5.466e+01,1.827e+02
5.1,3.254e+01,1.094e+03,5.382e+01,1.180e+03
6.8,5.302e+01,2.101e+03,5.705e+01,2.211e+03
8.5,4.781e+01,2.692e+03,5.841e+01,2.799e+03
10.2,3.966e+01,4.167e+03,6.224e+01,4.269e+03
11.9,5.684e+01,5.940e+03,7.579e+01,6.073e+03
13.6,7.398e+01,8.137e+03,1.089e+02,8.320e+03
15.3,1.114e+02,1.123e+04,1.509e+02,1.150e+04
17.0,1.918e+02,1.491e+04,2.505e+02,1.535e+04
18.7,2.440e+02,1.906e+04,3.735e+02,1.968e+04
20.4,3.686e+02,2.361e+04,6.374e+02,2.461e+04
22.1,6.785e+02,2.894e+04,1.243e+03,3.086e+04
23.7,1.476e+03,3.518e+04,2.822e+03,3.948e+04
25.4,4.233e+03,4.177e+04,7.189e+03,5.320e+04
27.1,1.486e+04,5.076e+04,2.019e+04,8.581e+04
28.8,3.718e+04,6.243e+04,4.289e+04,1.425e+05
30.5,7.434e+04,8.691e+04,7.921e+04,2.405e+05
32.2,1.518e+05,1.459e+05,1.574e+05,4.551e+05
33.9,2.311e+05,2.350e+05,2.279e+05,6.941e+05
35.6,2.663e+05,3.282e+05,2.560e+05,8.504e+05
37.3,2.886e+05,4.388e+05,2.772e+05,1.005e+06
39.0,3.125e+05,5.798e+05,3.144e+05,1.207e+06
40.7,3.259e+05,7.298e+05,3.565e+05,1.412e+06
42.4,3.759e+05,1.016e+06,4.436e+05,1.836e+06
44.1,5.117e+05,1.465e+06,5.286e+05,2.505e+06
45.8,6.638e+05,1.774e+06,5.660e+05,3.004e+06
47.5,7.433e+05,1.992e+06,6.320e+05,3.368e+06
49.2,6.342e+05,1.871e+06,6.235e+05,3.128e+06
50.9,4.652e+05,1.655e+06,5.992e+05,2.719e+06
52.6,3.587e+05,1.402e+06,5.523e+05,2.313e+06
54.3,2.573e+05,1.178e+06,4.804e+05,1.916e+06
56.0,1.599e+05,1.050e+06,4.204e+05,1.630e+06
57.7,8.211e+04,9.174e+05,3.550e+05,1.355e+06
59.4,4.019e+04,8.008e+05,2.908e+05,1.132e+06
61.1,2.515e+04,7.063e+05,2.396e+05,9.711e+05
62.8,2.180e+04,6.207e+05,2.009e+05,8.434e+05
64.5,2.329e+04,5.495e+05,1.762e+05,7.490e+05
66.2,3.015e+04,4.844e+05,1.542e+05,6.688e+05
67.9,4.280e+04,4.213e+05,1.292e+05,5.933e+05
69.5,5.637e+04,3.621e+05,1.074e+05,5.259e+05
71.2,6.444e+04,3.066e+05,8.819e+04,4.592e+05
72.9,6.531e+04,2.686e+05,7.574e+04,4.097e+05
74.6,6.629e+04,2.401e+05,6.910e+04,3.755e+05
76.3,7.396e+04,1.994e+05,5.906e+04,3.324e+05
78.0,8.282e+04,1.625e+05,5.043e+04,2.957e+05
79.7,9.282e+04,1.476e+05,4.660e+04,2.870e+05
81.4,1.010e+05,1.469e+05,4.390e+04,2.918e+05
83.1,1.084e+05,1.544e+05,4.157e+04,3.044e+05
84.8,1.159e+05,1.607e+05,4.116e+04,3.178e+05
86.5,1.233e+05,1.589e+05,4.165e+04,3.239e+05
88.2,1.526e+05,1.490e+05,3.852e+04,3.401e+05
89.9,2.182e+05,1.363e+05,3.232e+04,3.868e+05
91.6,2.835e+05,1.255e+05,2.716e+04,4.362e+05
93.3,3.083e+05,1.151e+05,2.287e+04,4.463e+05
95.0,2.921e+05,1.081e+05,1.975e+04,4.200e+05
96.7,2.437e+05,1.092e+05,1.799e+04,3.708e+05
98.4,1.847e+05,1.248e+05,2.037e+04,3.299e+05
100.1,1.329e+05,1.518e+05,2.768e+04,3.124e+05
101.8,1.225e+05,1.765e+05,3.540e+04,3.344e+05
103.5,1.530e+05,1.818e+05,3.914e+04,3.739e+05
105.2,1.810e+05,1.796e+05,4.006e+04,4.007e+05
106.9,1.931e+05,1.761e+05,3.944e+04,4.086e+05
108.6,1.883e+05,1.741e+05,3.907e+04,4.015e+05
110.3,1.763e+05,1.727e+05,3.858e+04,3.876e+05
112.0,1.663e+05,1.730e+05,3.817e+04,3.775e+05
113.7,1.443e+05,1.717e+05,3.807e+04,3.540e+05
115.3,1.247e+05,1.611e+05,3.679e+04,3.226e+05
117.0,1.108e+05,1.400e+05,3.323e+04,2.840e+05
118.7,1.017e+05,1.100e+05,2.675e+04,2.384e+05
120.4,9.523e+04,8.374e+04,1.899e+04,1.980e+05
122.1,8.820e+04,7.540e+04,1.346e+04,1.771e+05
123.8,7.683e+04,9.230e+04,1.306e+04,1.822e+05
125.5,6.253e+04,1.048e+05,1.412e+04,1.814e+05
127.2,5.022e+04,9.926e+04,1.315e+04,1.626e+05
128.9,6.028e+04,9.384e+04,1.316e+04,1.673e+05
130.6,7.155e+04,1.045e+05,1.502e+04,1.911e+05
132.3,4.345e+04,9.087e+04,1.291e+04,1.472e+05
134.0,2.804e+04,2.036e+04,3.521e+03,5.192e+04
135.7,2.301e+04,1.772e+03,1.058e+03,2.584e+04
137.4,2.055e+04,1.514e+03,1.025e+03,2.309e+04
139.1,1.960e+04,1.118e+03,9.309e+02,2.165e+04
140.8,1.821e+04,7.811e+02,6.901e+02,1.968e+04
142.5,1.797e+04,8.709e+02,5.913e+02,1.944e+04
144.2,1.924e+04,1.157e+03,5.436e+02,2.094e+04
145.9,2.013e+04,1.245e+03,3.775e+02,2.175e+04
147.6,2.114e+04,1.351e+03,2.482e+02,2.274e+04
149.3,2.171e+04,1.398e+03,2.020e+02,2.331e+04
151.0,2.309e+04,1.417e+03,2.466e+02,2.475e+04
152.7,2.390e+04,1.511e+03,2.824e+02,2.569e+04
154.4,2.411e+04,1.781e+03,3.120e+02,2.620e+04
156.1,2.458e+04,2.131e+03,2.893e+02,2.700e+04
157.8,2.570e+04,3.447e+03,3.005e+02,2.945e+04
159.5,2.747e+04,6.892e+03,5.645e+02,3.492e+04
161.1,2.930e+04,1.001e+04,9.059e+02,4.022e+04
162.8,2.921e+04,1.072e+04,1.119e+03,4.104e+04
