freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.826e+01,5.087e+02,2.515e+02,8.085e+02
1.7,5.031e+01,2.992e+02,1.789e+02,5.284e+02
3.4,2.863e+01,8.351e+01,5.086e+01,1.630e+02
5.1,2.801e+01,1.035e+03,5.675e+01,1.120e+03
6.8,3.833e+01,2.327e+03,5.500e+01,2.421e+03
8.5,5.245e+01,2.868e+03,5.007e+01,2.971e+03
10.2,4.603e+01,4.351e+03,5.132e+01,4.448e+03
11.9,3.844e+01,6.327e+03,5.482e+01,6.421e+03
13.6,3.618e+01,9.015e+03,6.070e+01,9.112e+03
15.3,3.695e+01,1.237e+04,7.005e+01,1.248e+04
17.0,3.857e+01,1.597e+04,8.079e+01,1.609e+04
18.7,3.937e+01,1.995e+04,9.492e+01,2.009e+04
20.4,4.557e+01,2.526e+04,1.268e+02,2.543e+04
22.1,5.291e+01,3.149e+04,1.970e+02,3.174e+04
23.8,7.430e+01,3.975e+04,3.281e+02,4.015e+04
25.5,9.137e+01,5.049e+04,5.891e+02,5.117e+04
27.2,1.342e+02,6.607e+04,1.023e+03,6.722e+04
28.9,1.771e+02,8.225e+04,1.793e+03,8.422e+04
30.6,1.985e+02,1.097e+05,3.612e+03,1.135e+05
32.3,2.140e+02,1.506e+05,8.427e+03,1.592e+05
34.0,1.707e+02,1.876e+05,1.587e+04,2.036e+05
35.7,4.732e+02,2.525e+05,2.716e+04,2.801e+05
37.4,2.144e+03,3.273e+05,4.523e+04,3.747e+05
39.1,7.433e+03,3.217e+05,5.833e+04,3.874e+05
40.8,1.534e+04,2.340e+05,5.784e+04,3.071e+05
42.5,1.898e+04,1.487e+05,5.498e+04,2.226e+05
44.2,1.658e+04,9.276e+04,5.809e+04,1.674e+05
45.9,1.352e+04,5.868e+04,6.887e+04,1.411e+05
47.6,1.118e+04,4.061e+04,8.958e+04,1.414e+05
49.3,9.883e+03,3.514e+04,1.214e+05,1.664e+05
51.0,8.483e+03,5.117e+04,1.826e+05,2.422e+05
52.7,6.985e+03,7.997e+04,2.276e+05,3.145e+05
54.4,6.109e+03,1.496e+05,3.078e+05,4.635e+05
56.1,7.439e+03,2.947e+05,4.623e+05,7.645e+05
57.8,1.409e+04,4.657e+05,6.121e+05,1.092e+06
59.5,2.673e+04,6.659e+05,7.646e+05,1.457e+06
61.2,4.834e+04,8.984e+05,8.349e+05,1.782e+06
62.9,8.246e+04,1.136e+06,8.422e+05,2.061e+06
64.6,1.147e+05,1.344e+06,8.713e+05,2.330e+06
66.3,1.296e+05,1.393e+06,8.329e+05,2.356e+06
68.0,1.166e+05,1.183e+06,6.565e+05,1.956e+06
69.7,8.727e+04,9.029e+05,4.470e+05,1.437e+06
71.4,5.383e+04,6.163e+05,2.606e+05,9.307e+05
73.1,5.102e+04,3.977e+05,1.466e+05,5.953e+05
74.8,6.515e+04,3.491e+05,1.232e+05,5.375e+05
76.5,7.788e+04,3.391e+05,1.193e+05,5.363e+05
78.2,8.093e+04,3.153e+05,1.097e+05,5.059e+05
79.9,7.523e+04,2.752e+05,8.846e+04,4.389e+05
81.6,6.557e+04,2.312e+05,6.425e+04,3.610e+05
83.3,5.980e+04,2.062e+05,4.905e+04,3.150e+05
